Date,Consumption,Price
2015-04-07,2.137198815,255.764292
2015-04-08,2.137814259,253.805465
2015-04-09,2.08629634,244.955356
2015-04-10,2.116675524,243.625348
2015-04-11,2.106829303,236.135806
2015-04-12,2.06599285,236.788708
2015-04-13,2.130825455,236.261576
2015-04-14,2.124342195,224.627105
2015-04-15,2.117858934,219.810443
2015-04-16,2.128664368,223.909151
2015-04-17,2.072476111,228.23524
2015-04-18,2.085442632,222.329594
2015-04-19,2.118169294,223.041124
2015-04-20,2.101490768,222.085733
2015-04-21,2.09785877,224.23028
2015-04-22,2.150495917,235.339103
2015-04-23,2.12277633,234.104639
2015-04-24,2.108505068,236.008938
2015-04-25,2.132165364,231.086402
2015-04-26,2.122462454,226.098491
2015-04-27,2.087088504,219.515292
2015-04-28,2.087088504,227.074393
2015-04-29,2.035066801,225.216036
2015-04-30,2.043390238,225.062381
2015-05-01,2.093330862,236.122786
2015-05-02,2.060037113,231.504339
2015-05-03,2.053852782,234.69621
2015-05-04,2.035308583,239.889759
2015-05-05,2.037610342,238.52921
2015-05-06,2.108590351,235.953669
2015-05-07,2.123359243,229.248823
2015-05-08,2.127735927,237.252183
2015-05-09,2.090465532,244.166836
2015-05-10,2.065621826,242.122048
2015-05-11,2.128090247,240.314888
2015-05-12,2.119761535,242.089965
2015-05-13,2.121843493,241.143347
2015-05-14,2.148912468,235.749295
2015-05-15,2.142665714,236.749797
2015-05-16,2.148912468,237.148846
2015-05-17,2.240998681,235.664353
2015-05-18,2.219173287,236.189902
2015-05-19,2.184141349,232.917253
2015-05-20,2.156120194,231.494289
2015-05-21,2.166088625,234.108395
2015-05-22,2.154368817,235.140514
2015-05-23,2.118421626,240.218354
2015-05-24,2.069162386,238.506004
2015-05-25,2.06276265,240.428057
2015-05-26,2.092627498,236.923468
2015-05-27,2.077695074,236.834355
2015-05-28,2.028632776,237.065961
2015-05-29,2.062763529,236.850409
2015-05-30,2.113959658,236.552162
2015-05-31,2.11620339,232.938981
2015-06-01,2.089978452,228.911707
2015-06-02,2.094792981,222.305276
2015-06-03,2.095767141,224.940443
2015-06-04,2.107459693,224.936406
2015-06-05,2.065983179,223.768013
2015-06-06,2.146100769,224.48728
2015-06-07,2.142325461,225.083457
2015-06-08,2.194324305,222.907579
2015-06-09,2.196403626,228.389056
2015-06-10,2.25256199,229.04234
2015-06-11,2.240082549,228.537431
2015-06-12,2.24840247,229.575756
2015-06-13,2.208883946,229.470833
2015-06-14,2.21718892,232.183886
2015-06-15,2.203383638,233.653656
2015-06-16,2.14559083,236.949148
2015-06-17,2.137232225,250.827587
2015-06-18,2.19524835,248.857962
2015-06-19,2.21915834,249.129056
2015-06-20,2.179475406,244.425259
2015-06-21,2.130568727,245.11259
2015-06-22,2.150115221,243.66241
2015-06-23,2.197895638,246.911361
2015-06-24,2.193552363,243.751731
2015-06-25,2.184864935,240.012215
2015-06-26,2.200067275,242.077664
2015-06-27,2.189208209,243.124362
2015-06-28,2.224822182,251.319118
2015-06-29,2.194811385,248.618804
2015-06-30,2.203830274,256.736691
2015-07-01,2.156507923,262.508063
2015-07-02,2.158896724,258.051293
2015-07-03,2.172056671,254.603739
2015-07-04,2.220079748,256.11961
2015-07-05,2.221756392,260.60165
2015-07-06,2.310281824,271.85882
2015-07-07,2.286531849,268.848039
2015-07-08,2.342669992,265.699098
2015-07-09,2.297328491,270.354102
2015-07-10,2.282214071,269.411507
2015-07-11,2.275553211,285.305328
2015-07-12,2.270318422,293.355179
2015-07-13,2.209896791,311.022534
2015-07-14,2.242025593,292.440656
2015-07-15,2.235948526,287.304948
2015-07-16,2.247913632,285.61609
2015-07-17,2.243557169,278.867644
2015-07-18,2.254643949,279.915468
2015-07-19,2.292593091,276.958476
2015-07-20,2.31045151,274.907643
2015-07-21,2.272502369,279.638416
2015-07-22,2.274734671,275.915773
2015-07-23,2.288128486,277.827433
2015-07-24,2.33723914,276.529998
2015-07-25,2.352235746,288.820679
2015-07-26,2.341942009,289.273504
2015-07-27,2.334143458,292.856431
2015-07-28,2.361378603,294.093543
2015-07-29,2.364898941,295.053741
2015-07-30,2.358544045,290.004226
2015-07-31,2.326294791,288.278261
2015-08-01,2.332834321,284.407784
2015-08-02,2.348827946,280.492812
2015-08-03,2.367106626,282.304127
2015-08-04,2.367106626,280.942654
2015-08-05,2.323694102,285.451732
2015-08-06,2.344257836,282.333962
2015-08-07,2.312269707,279.121189
2015-08-08,2.327747239,279.822054
2015-08-09,2.309800019,261.728057
2015-08-10,2.335725148,265.461649
2015-08-11,2.39811532,264.727125
2015-08-12,2.384442798,271.657012
2015-08-13,2.39629009,267.139904
2015-08-14,2.410331,264.524486
2015-08-15,2.356250198,265.937124
2015-08-16,2.347037005,261.795466
2015-08-17,2.300971039,257.964436
2015-08-18,2.252602434,257.106781
2015-08-19,2.321700943,220.795121
2015-08-20,2.328610618,226.45461
2015-08-21,2.38158538,235.520902
2015-08-22,2.440704908,232.620885
2015-08-23,2.440609075,230.606894
2015-08-24,2.46958153,228.788772
2015-08-25,2.464947238,210.369911
2015-08-26,2.487417969,222.206051
2015-08-27,2.466797086,225.821614
2015-08-28,2.454310612,225.487719
2015-08-29,2.459053045,231.541891
2015-08-30,2.496994274,229.976061
2015-08-31,2.501737587,228.973938
2015-09-01,2.546792467,230.273955
2015-09-02,2.54442125,227.972279
2015-09-03,2.565763082,229.540856
2015-09-04,2.580175895,227.172825
2015-09-05,2.566702073,230.728768
2015-09-06,2.569473328,235.722164
2015-09-07,2.575560067,240.429486
2015-09-08,2.548931574,240.59247
2015-09-09,2.540436691,244.186226
2015-09-10,2.619906307,238.827529
2015-09-11,2.631259486,238.770168
2015-09-12,2.601386725,240.243484
2015-09-13,2.618811697,235.123795
2015-09-14,2.618811697,230.727051
2015-09-15,2.67855634,230.960243
2015-09-16,2.661130489,230.458616
2015-09-17,2.59672342,229.037079
2015-09-18,2.584616762,233.238849
2015-09-19,2.5727132,233.083494
2015-09-20,2.528759965,231.705669
2015-09-21,2.492689685,230.409946
2015-09-22,2.501536249,227.145239
2015-09-23,2.557785172,230.949642
2015-09-24,2.559570838,230.294972
2015-09-25,2.603655954,234.5941
2015-09-26,2.660708471,235.378747
2015-09-27,2.715167331,234.276596
2015-09-28,2.74369315,233.215967
2015-09-29,2.787779145,240.072871
2015-09-30,2.761846103,236.869857
2015-10-01,2.789835606,236.434715
2015-10-02,2.731324488,237.918319
2015-10-03,2.735503352,237.825444
2015-10-04,2.755758485,239.611143
2015-10-05,2.791573795,238.807407
2015-10-06,2.717760987,240.794243
2015-10-07,2.687453019,246.711984
2015-10-08,2.668506143,243.585494
2015-10-09,2.63661121,243.008836
